compl_total1,compl_total2,compl_total3,compl_total4,compl_total5,compl_total6,compl_total7,compl_total8,compl_total9,compl_total10,compl_total11,compl_total12,compl_total13,compl_total14,compl_total15,compl_total16,compl_total17,compl_total18,compl_total19,compl_total20,compl_total21,compl_total22,compl_total23,compl_total24,compl_total25,compl_total26,compl_total27,compl_total28,compl_total29,compl_total30,compl_total31,compl_total32,compl_total33,compl_total34,compl_total35,compl_total36,compl_total37,compl_total38,compl_total39,compl_total40,compl_total41,compl_total42,compl_total43,compl_total44,compl_total45_1,compl_total45_2,compl_total45_3,compl_total45_4,compl_total45_5,compl_total45_6,compl_total45_7,compl_total45_8,compl_total46_1,compl_total46_2,compl_total46_3,compl_total46_4,compl_total47,compl_total48,compl_total49,compl_total50
13,0.137777777777778,8,18.7416666666667,2,0.0125915280914254,0.00996482458576321,,0,0,0,,0.619210310559006,0.126172382144859,8,4.05888888888889,2,0.0511111111111111,1,0.133829690346084,24.4743902,,0.137777777777778,64.2777777777778,25.6944444444444,4.94444444444444,2.27777777777778,2.80555555555556,,85.4166666666667,9.86111111111111,4.52777777777778,0.194444444444444,0,,100,0,0,0,0,,0.685075770809601,0.312361111111111,,341,681,901,1161,1501,1901,2161,2481,201,441,701,1101,0,0,1,
13,0.188611111111111,8,19.0097222222222,1,0.023678191847168,0.0205544756086273,,0,0,0,,0.428658371428571,0.137251583991958,8,4.12916666666667,1,0.0977777777777778,1,0.184663023679419,24.3455086,,0.188611111111111,56.2222222222222,30.25,4.05555555555556,2.08333333333333,7.38888888888889,,76.9444444444444,13.4722222222222,9.58333333333333,0,0,,100,0,0,0,0,,0.783078747713418,0.316828703703704,,301,621,961,1301,1561,1901,2121,2421,382,702,902,1142,0,0,1,
13,0.323055555555556,9,19.6576923076923,2,0.0589578034305094,0.0640087850376663,,0.111111111111111,0.111111111111111,0.111111111111111,,0.605797142857143,0.180913339048235,9,4.25916666666667,2,0.291666666666667,1,0.319107468123862,24.3833389,,0.323055555555556,42.7777777777778,27.3333333333333,5.25,4.47222222222222,20.1666666666667,,59.7222222222222,24.6111111111111,12.7222222222222,2.94444444444444,0,,100,0,0,0,0,,0.773029078928918,0.327628205128205,,221,441,681,1001,1241,1441,1681,2081,322,602,942,1342,0,0,1,
13,0.285,8,19.2930555555556,2,0.057344130620844,0.0627858002406743,,0,0.125,0.0198863636363636,,0.537405087108014,0.170977758627464,8,4.21888888888889,2,0.243611111111111,1,0.281051912568307,25.0006829,,0.285,53.8333333333333,14.5,9.25,4.27777777777778,18.1388888888889,,66.6666666666667,14.3611111111111,18.9722222222222,0,0,,100,0,0,0,0,,0.77804934603396,0.321550925925926,,282,682,1002,1202,1442,1782,1982,2302,242,482,802,1022,0,0,1,
13,0.108055555555556,8,18.6583333333333,1,0.000482991789139585,0.000323984078496714,,0,0,0,,0.387463238095238,0.114256907101259,8,4.02555555555556,1,0.00194444444444444,0.557377049180328,0.104107468123861,24.4285737,,0.108055555555556,65.3055555555555,31.6944444444444,2.47222222222222,0.527777777777778,0,,91.0277777777778,8.77777777777778,0.194444444444444,0,0,,100,0,0,0,0,,0.297665946906157,0.310972222222222,,201,521,821,1181,1541,1861,2241,2541,301,661,921,1221,0,0,1,
13,0.151944444444444,8,18.9641025641026,1,0.0137236343969713,0.00939388529641237,,0,0.125,0.00431034482758621,,0.435329285714286,0.126720754560733,8,4.10888888888889,1,0.0563888888888889,1,0.147996357012751,24.5765813,,0.151944444444444,64.8333333333333,21.8888888888889,5.94444444444444,3.41666666666667,3.91666666666667,,81.7777777777778,12.5833333333333,5.63888888888889,0,0,,100,0,0,0,0,,0.670345146933327,0.316068376068376,,202,422,722,1062,1342,1542,1922,2222,402,742,1062,1442,0,0,1,
13,0.213055555555556,8,19.1487179487179,1,0.0251740760578468,0.0335191282844712,,0,0,0,,0.429068571428571,0.13926942144102,8,4.14888888888889,1,0.104444444444444,1,0.206375227686704,24.2347576,,0.213055555555556,54.4722222222222,25.7777777777778,9.55555555555556,1.66666666666667,8.52777777777778,,80.5555555555556,13.1666666666667,6.27777777777778,0,0,,100,0,0,0,0,,0.734438079805481,0.319145299145299,,221,441,781,1141,1401,1761,1961,2181,382,682,1022,1322,0,0,1,
13,0.1425,9,18.7680555555556,1,0.00794243432217772,0.005577154494122,,0,0,0,,0.387785257142857,0.122247926895496,9,4.09166666666667,1,0.0325,1,0.138551912568305,24.9250114,,0.1425,62.8055555555556,26.8888888888889,6.38888888888889,1.11111111111111,2.80555555555556,,83.8888888888889,12.8611111111111,3.25,0,0,,100,0,0,0,0,,0.608213468670034,0.312800925925926,,222,502,782,1062,1322,1682,2002,2382,362,662,1002,1202,0,0,1,
13,0.156666666666667,7,18.7069444444444,1,0.0134866844663517,0.0204341386651856,,0,0,0,,0.334509142857143,0.127320076987495,7,4.05722222222222,1,0.0547222222222222,1,0.152718579234972,24.1726909,,0.156666666666667,59.4722222222222,29.5555555555556,5.52777777777778,1.69444444444444,3.75,,88.9444444444444,8.41666666666667,2.63888888888889,0,0,,100,0,0,0,0,,0.603574328310424,0.311782407407407,,342,702,942,1282,1662,2002,2222,2462,221,521,901,1181,0,0,1,
13,0.129444444444444,7,18.7722222222222,1,0.00695106991958566,0.00944182171618994,,0,0,0,,0.327213828571429,0.121284651854423,7,4.07583333333333,1,0.0283333333333333,1,0.12549635701275,24.7758952,,0.129444444444444,66.6944444444444,23.5833333333333,6.22222222222222,1.33333333333333,2.16666666666667,,91.7777777777778,5.38888888888889,2.83333333333333,0,0,,100,0,0,0,0,,0.530006402988967,0.31287037037037,,262,662,982,1302,1582,1902,2102,2442,281,561,841,1161,0,0,1,
