TT1,TT2,TT3,TT4,TT5,TT6,TT7,TT8,TT9,TT10,TT11,TT12
13,0.347777777777778,9,19.7371794871795,3,0.0727508931471257,0.0947623675963027,,0,0,0,
13,0.103611111111111,8,18.6583333333333,1,0.0014469785709364,0.000909469591780061,,0,0.125,0.0053030303030303,
13,0.176944444444444,8,19.1448717948718,1,0.0239737494140494,0.0330047209108581,,0,0,0,
13,0.102222222222222,7,18.6583333333333,1,0.000482359426681367,0.000388780894196057,,0,0,0,
13,0.140277777777778,8,18.7611111111111,2,0.0126997132322819,0.008579957948189,,0,0.125,0.00717213114754098,
13,0.106388888888889,8,18.6583333333333,1,0.000960746637386769,0.000666481532907526,,0,0,0,
13,0.108888888888889,7,18.6583333333333,1,0.000963391136801541,0.000971952235490142,,0,0,0,
13,0.515555555555556,8,20.4472222222222,2,0.129590570719603,0.128750281006598,,0,0.25,0.104224376731302,
13,0.154722222222222,8,18.8194444444444,1,0.0137264182838596,0.0140271882149139,,0,0.125,0.0154320987654321,
13,0.2025,8,19.0291666666667,1,0.026409276761177,0.0241811137117996,,0,0,0,
13,0.252222222222222,9,19.2935897435897,2,0.0467805169778723,0.0487252218299151,,0,0,0,
13,0.134444444444444,7,18.7097222222222,1,0.00640937284631289,0.00373573478266619,,0,0.142857142857143,0.033844942935852,
13,0.140555555555556,8,18.8125,2,0.0140215403373298,0.00980878327448723,,0,0,0,
13,0.201666666666667,8,19.1153846153846,2,0.0277665995975855,0.0185193266420703,,0,0.125,0.0115273775216138,
13,0.1125,8,18.6583333333333,1,0.000978200111794298,0.000874757011941127,,0,0,0,
13,0.16,7,18.725,2,0.0175939134569662,0.0247384985652133,,0,0,0,
13,0.22,8,18.9305555555556,2,0.0371267150928168,0.0534990280477646,,0,0,0,
13,0.191666666666667,7,18.9083333333333,1,0.0247073237135856,0.0229711323574139,,0,0.142857142857143,0.0359231411862991,
13,0.185,8,18.9152777777778,1,0.0214508052510489,0.0204063686013144,,0,0,0,
13,0.291944444444444,8,19.3692307692308,1,0.0477230606301297,0.0493900503828299,,0,0.125,0.0544590643274854,
13,0.128333333333333,8,18.7097222222222,1,0.00691085003455425,0.00607238729982411,,0,0,0,
13,0.143888888888889,7,18.7611111111111,1,0.0116747456817096,0.00752833207706855,,0,0.142857142857143,0.0426929392446634,
13,0.125,8,18.7069444444444,1,0.00684603272403642,0.00698879940757197,,0,0,0,
13,0.141944444444444,8,18.7527777777778,1,0.011716621253406,0.00760106319673108,,0,0.125,0.0297619047619048,
13,0.166666666666667,7,18.8597222222222,1,0.0158251695553881,0.00977770725063143,,0,0.142857142857143,0.0994447248864208,
13,0.160833333333333,7,18.4727272727273,1,0.0206800832755031,0.0305702119781542,,0,0,0,
13,0.131388888888889,8,18.8615384615385,1,0.00774877650897227,0.0091317226696288,,0,0,0,
13,0.107222222222222,7,18.4727272727273,0,0,0,,0,0,0,
13,0.206944444444444,7,18.8015151515152,1,0.0312607115925139,0.0306098834979702,,0,0.142857142857143,0.0694716242661448,
13,0.0866666666666667,8,18.6583333333333,1,0.00143717492471941,0.00168471720818291,,0,0,0,
13,0.288055555555556,8,19.2194444444444,2,0.0527882516372296,0.0578873593314029,,0,0,0,
13,0.105,8,18.6583333333333,0,0,0,,0,0,0,
13,0.165555555555556,8,18.9602564102564,1,0.0146730678206775,0.0119093902487405,,0,0,0,
